"datetime","casos","tempmed","umidmed"
2016-01-03,550,24.70849971,76.085932
2016-01-10,476,25.31944471,85.00865743
2016-01-17,470,22.14240343,87.28571429
2016-01-24,476,25.97251986,81.842758
2016-01-31,473,28.78750971,68.20633643
2016-02-07,646,27.47954614,70.73252214
2016-02-14,889,25.59028929,84.07236129
2016-02-21,875,25.79206314,81.83958371
2016-02-28,1064,25.086078,79.72820543
2016-03-06,1328,25.85431514,83.05680714
2016-03-13,1462,24.01956171,87.84780771
2016-03-20,1877,24.80519457,84.67159029
2016-03-27,3127,25.33346071,86.73078686
2016-04-03,2968,24.33621014,84.37464857
2016-04-10,2863,27.04957757,73.47632429
2016-04-17,2312,26.01130957,75.30208214
2016-04-24,2254,22.42086029,78.90600629
2016-05-01,1339,19.59865214,84.25255214
2016-05-08,1232,21.78884657,86.001908
2016-05-15,976,21.25584429,85.93603914
2016-05-22,503,19.55219143,85.52370143
2016-05-29,540,20.83928571,86.5875
2016-06-05,508,18.97897714,85.97491943
2016-06-12,314,15.603896,82.318182
2016-06-19,262,18.53003229,84.60495057
2016-06-26,234,18.64069286,89.00909057
2016-07-03,228,18.82053571,81.89841214
2016-07-10,187,19.78041157,83.24776271
2016-07-17,143,17.42072814,75.60396657
2016-07-24,133,18.31247271,84.20752229
2016-07-31,95,19.69067143,77.22787643
2016-08-07,95,18.999838,78.35495171
2016-08-14,74,20.01201286,82.23457771
2016-08-21,63,18.37313314,78.16258086
2016-08-28,64,21.21354871,79.77643143
2016-09-04,48,21.33790571,80.17102286
2016-09-11,50,22.117262,74.14579757
2016-09-18,47,20.09472614,82.71920057
2016-09-25,32,18.67181657,86.06994943
2016-10-02,34,19.439869,82.18576014
2016-10-09,39,21.72475657,77.52173571
2016-10-16,63,24.41928857,81.02494357
2016-10-23,54,22.06343557,79.06972714
2016-10-30,37,21.613259,77.99943857
2016-11-06,65,22.80869186,82.84914143
2016-11-13,72,22.11378314,83.10885443
2016-11-20,107,21.60496,77.24057571
2016-11-27,133,24.11941857,72.22977257
2016-12-04,127,23.09226214,82.49474157
2016-12-11,102,23.884325,84.83561443
2016-12-18,135,24.99801586,75.41319514
2016-12-25,252,27.38159214,73.79817929
2017-01-01,196,27.76835329,73.53621057
2017-01-08,213,25.80472329,81.59440614
2017-01-15,219,25.85267871,79.88739914
2017-01-22,282,26.10016214,81.55940514
2017-01-29,237,25.55307514,78.71676657
2017-02-05,236,25.52844414,80.75178429
2017-02-12,223,25.43997957,74.948412
2017-02-19,115,25.27835486,74.33535371
2017-02-26,131,25.30173171,80.41774857
2017-03-05,135,26.11944429,79.5125
2017-03-12,159,25.249603,80.67291629
2017-03-19,134,21.82791986,84.035035
2017-03-26,123,21.96472729,83.00071271
2017-04-02,129,22.69714971,84.38153829
2017-04-09,95,23.54275786,84.14115229
2017-04-16,86,22.51960457,79.35305143
2017-04-23,87,20.70654743,86.91103914
2017-04-30,95,19.96771286,86.04301057
2017-05-07,86,20.44156729,83.81353414
2017-05-14,52,19.79545457,83.54902629
2017-05-21,34,19.67316,88.25223714
2017-05-28,58,20.07178929,86.84588629
2017-06-04,74,20.57341286,84.07222286
2017-06-11,34,18.44090914,88.69228914
2017-06-18,38,19.42323229,88.53044729
2017-06-25,29,17.74239114,87.07441514
2017-07-02,31,17.00357143,84.825
2017-07-09,30,18.48961029,85.29653743
2017-07-16,40,18.54127,83.95238057
2017-07-23,33,18.43272029,82.90634857
2017-07-30,39,18.25555571,80.39682571
2017-08-06,24,18.34689757,79.35324771
2017-08-13,27,19.40702957,83.67074771
2017-08-20,35,18.18214286,82.38293714
2017-08-27,31,18.88497214,80.49740229
2017-09-03,32,18.6268058,74.883888
2017-09-10,36,19.65923392,72.815539
2017-09-17,54,20.69166204,70.74719
2017-09-24,37,21.72409016,68.678841
2017-10-01,59,22.75651828,66.610492
2017-10-08,56,23.7889464,64.542143
2017-10-15,61,24.82137452,62.473794
2017-10-22,53,25.85380264,60.405445
2017-10-29,38,26.88623076,58.337096
2017-11-05,59,27.91865888,56.268747
2017-11-12,56,28.951087,54.200398
2017-11-19,49,24.52380971,77.71719786
2017-11-26,61,25.16666686,72.24374571
2017-12-03,84,24.257993,76.80286586
2017-12-10,67,23.62380943,77.25557429
2017-12-17,56,25.796032,76.75267771
2017-12-24,58,25.68214286,82.025202
2017-12-31,133,25.17777786,82.48263029
2018-01-07,105,25.76878914,78.65600843
2018-01-14,126,26.82738114,73.423488
2018-01-21,97,26.574603,77.97166271
2018-01-28,107,24.11428571,82.02291
2018-02-04,74,24.53888914,80.47920829
2018-02-11,78,25.78452371,79.26936414
2018-02-18,129,25.32575743,83.51371057
2018-02-25,144,26.42261886,79.34883929
2018-03-04,197,25.648052,84.06944429
2018-03-11,179,26.24545429,81.12666914
2018-03-18,200,25.76363629,82.34454643
2018-03-25,237,25,79.13927786
2018-04-01,289,24.93376629,83.84797457
2018-04-04,279,24.20779257,80.70448714
2018-04-15,251,22.26709971,81.63030114
2018-04-22,264,24.71247429,75.69391
2018-04-29,313,24.83333371,72.59685429
2018-05-06,331,24.02950314,72.87368371
2018-05-13,328,24.42261886,73.01033357
2018-05-20,211,20.14307371,76.97994229
