data_iniSE,SE,casos
2010/1/3,201001,30
2010/1/10,201002,44
2010/1/17,201003,46
2010/1/24,201004,47
2010/1/31,201005,68
2010/2/7,201006,56
2010/2/14,201007,66
2010/2/21,201008,74
2010/2/28,201009,95
2010/3/7,201010,74
2010/3/14,201011,66
2010/3/21,201012,101
2010/3/28,201013,84
2010/4/4,201014,78
2010/4/11,201015,82
2010/4/18,201016,92
2010/4/25,201017,121
2010/5/2,201018,137
2010/5/9,201019,115
2010/5/16,201020,124
2010/5/23,201021,103
2010/5/30,201022,86
2010/6/6,201023,55
2010/6/13,201024,95
2010/6/20,201025,79
2010/6/27,201026,86
2010/7/4,201027,100
2010/7/11,201028,98
2010/7/18,201029,90
2010/7/25,201030,122
2010/8/1,201031,129
2010/8/8,201032,107
2010/8/15,201033,77
2010/8/22,201034,90
2010/8/29,201035,52
2010/9/5,201036,61
2010/9/12,201037,76
2010/9/19,201038,83
2010/9/26,201039,56
2010/10/3,201040,34
2010/10/10,201041,41
2010/10/17,201042,46
2010/10/24,201043,59
2010/10/31,201044,76
2010/11/7,201045,83
2010/11/14,201046,93
2010/11/21,201047,123
2010/11/28,201048,147
2010/12/5,201049,186
2010/12/12,201050,234
2010/12/19,201051,201
2010/12/26,201052,149
2011/1/2,201101,310
2011/1/9,201102,385
2011/1/16,201103,380
2011/1/23,201104,624
2011/1/30,201105,1012
2011/2/6,201106,1639
2011/2/13,201107,1983
2011/2/20,201108,2056
2011/2/27,201109,1898
2011/3/6,201110,1984
2011/3/13,201111,3473
2011/3/20,201112,5472
2011/3/27,201113,6115
2011/4/3,201114,7389
2011/4/10,201115,6204
2011/4/17,201116,5196
2011/4/24,201117,5820
2011/5/1,201118,4805
2011/5/8,201119,4445
2011/5/15,201120,3432
2011/5/22,201121,2631
2011/5/29,201122,2126
2011/6/5,201123,1345
2011/6/12,201124,1024
2011/6/19,201125,633
2011/6/26,201126,547
2011/7/3,201127,341
2011/7/10,201128,299
2011/7/17,201129,219
2011/7/24,201130,293
2011/7/31,201131,194
2011/8/7,201132,204
2011/8/14,201133,206
2011/8/21,201134,154
2011/8/28,201135,145
2011/9/4,201136,165
2011/9/11,201137,156
2011/9/18,201138,208
2011/9/25,201139,240
2011/10/2,201140,232
2011/10/9,201141,257
2011/10/16,201142,252
2011/10/23,201143,322
2011/10/30,201144,321
2011/11/6,201145,406
2011/11/13,201146,369
2011/11/20,201147,599
2011/11/27,201148,622
2011/12/4,201149,816
2011/12/11,201150,944
2011/12/18,201151,869
2011/12/25,201152,1440
2012/1/1,201201,1358
2012/1/8,201202,1383
2012/1/15,201203,1741
2012/1/22,201204,2012
2012/1/29,201205,2164
2012/2/5,201206,2750
2012/2/12,201207,3237
2012/2/19,201208,3819
2012/2/26,201209,5546
2012/3/4,201210,6757
2012/3/11,201211,6953
2012/3/18,201212,8806
2012/3/25,201213,9462
2012/4/1,201214,9668
2012/4/8,201215,12490
2012/4/15,201216,14703
2012/4/22,201217,14708
2012/4/29,201218,13691
2012/5/6,201219,13199
2012/5/13,201220,11482
2012/5/20,201221,10247
2012/5/27,201222,8084
2012/6/3,201223,5290
2012/6/10,201224,4300
2012/6/17,201225,2793
2012/6/24,201226,1896
2012/7/1,201227,1321
2012/7/8,201228,902
2012/7/15,201229,682
2012/7/22,201230,504
2012/7/29,201231,571
2012/8/5,201232,476
2012/8/12,201233,494
2012/8/19,201234,409
2012/8/26,201235,302
2012/9/2,201236,233
2012/9/9,201237,359
2012/9/16,201238,246
